ch_name,std_ch_name,std_ch_type
E74,E74,EEG
E75,E75,EEG
E76,E76,EEG
E77,E77,EEG
E78,E78,EEG
E79,E79,EEG
E80,E80,EEG
E81,E81,EEG
E82,E82,EEG
E83,E83,EEG
E85,E85,EEG
E86,E86,EEG
E87,E87,EEG
E88,E88,EEG
E89,E89,EEG
E90,E90,EEG
E91,E91,EEG
E92,E92,EEG
E93,E93,EEG
E94,E94,EEG
E95,E95,EEG
E96,E96,EEG
E97,E97,EEG
E98,E98,EEG
E99,E99,EEG
ECG,ECG,ECG
EXG7,EXG7,EXG
EXG8,EXG8,EXG
M1,M1,EEG
E33,E33,EEG
E34,E34,EEG
E35,E35,EEG
E36,E36,EEG
E37,E37,EEG
E38,E38,EEG
E39,E39,EEG
E40,E40,EEG
E41,E41,EEG
E42,E42,EEG
E43,E43,EEG
E44,E44,EEG
E45,E45,EEG
E48,E48,EEG
E49,E49,EEG
E52,E52,EEG
E54,E54,EEG
E55,E55,EEG
E56,E56,EEG
E57,E57,EEG
E58,E58,EEG
E60,E60,EEG
E68,E68,EEG
E84,E84,EEG
M2,M2,EEG
E3,E3,EEG
E46,E46,EEG
E51,E51,EEG
A1,A1,EEG
E12,E12,EEG
E14,E14,EEG
E15,E15,EEG
E16,E16,EEG
E17,E17,EEG
E18,E18,EEG
E4,E4,EEG
E5,E5,EEG
E6,E6,EEG
E7,E7,EEG
E8,E8,EEG
E9,E9,EEG
EXG1,EXG1,EXG
FP1,Fp1,EEG
FP2,Fp2,EEG
Status,Status,STIMULUS
E1,E1,EEG
E10,E10,EEG
E11,E11,EEG
E13,E13,EEG
E2,E2,EEG
E21,E21,EEG
E22,E22,EEG
E23,E23,EEG
E24,E24,EEG
E25,E25,EEG
E26,E26,EEG
E27,E27,EEG
E28,E28,EEG
E31,E31,EEG
E32,E32,EEG
EXG2,EXG2,EXG
EXG3,EXG3,EXG
EXG4,EXG4,EXG
EXG5,EXG5,EXG
EXG6,EXG6,EXG
E19,E19,EEG
E20,E20,EEG
E29,E29,EEG
E30,E30,EEG
A2,A2,EEG
P10,P10,EEG
P9,P9,EEG
Iz,Iz,EEG
Fpz,Fpz,EEG
FT10,FT10,EEG
FT9,FT9,EEG
TP10,TP10,EEG
TP9,TP9,EEG
AFz,AFz,EEG
FCz,FCz,EEG
CPz,CPz,EEG
AF7,AF7,EEG
AF8,AF8,EEG
POz,POz,EEG
P1,P1,EEG
P2,P2,EEG
PO7,PO7,EEG
PO8,PO8,EEG
FT7,FT7,EEG
FT8,FT8,EEG
P5,P5,EEG
P6,P6,EEG
TP7,TP7,EEG
AF3,AF3,EEG
CP3,CP3,EEG
CP4,CP4,EEG
F1,F1,EEG
F2,F2,EEG
F5,F5,EEG
F6,F6,EEG
FC3,FC3,EEG
FC4,FC4,EEG
TP8,TP8,EEG
AF4,AF4,EEG
PO3,PO3,EEG
PO4,PO4,EEG
C1,C1,EEG
C2,C2,EEG
C5,C5,EEG
C6,C6,EEG
Fp1,Fp1,EEG
Fp2,Fp2,EEG
Oz,Oz,EEG
Fz,Fz,EEG
Pz,Pz,EEG
FC5,FC5,EEG
FC6,FC6,EEG
P7,P7,EEG
P8,P8,EEG
CP5,CP5,EEG
CP6,CP6,EEG
T7,T7,EEG
T8,T8,EEG
CP1,CP1,EEG
CP2,CP2,EEG
FC1,FC1,EEG
FC2,FC2,EEG
Cz,Cz,EEG
P3,P3,EEG
P4,P4,EEG
F7,F7,EEG
F8,F8,EEG
O1,O1,EEG
O2,O2,EEG
F3,F3,EEG
F4,F4,EEG
C3,C3,EEG
C4,C4,EEG
